mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
DataFusionDefault,,0,SELECT COUNT(*) FROM hits,0,3,,,,
DataFusionDefault,,0,SELECT COUNT(*) FROM hits,1,0,,,,
DataFusionDefault,,0,SELECT COUNT(*) FROM hits,2,0,,,,
DataFusionDefault,,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",0,50,,,,
DataFusionDefault,,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",1,26,,,,
DataFusionDefault,,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",2,24,,,,
DataFusionDefault,,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",0,53,,,,
DataFusionDefault,,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",1,54,,,,
DataFusionDefault,,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",2,54,,,,
DataFusionDefault,,3,"SELECT AVG(""UserID"") FROM hits",0,60,,,,
DataFusionDefault,,3,"SELECT AVG(""UserID"") FROM hits",1,50,,,,
DataFusionDefault,,3,"SELECT AVG(""UserID"") FROM hits",2,52,,,,
DataFusionDefault,,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",0,616,,,,
DataFusionDefault,,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",1,601,,,,
DataFusionDefault,,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",2,611,,,,
DataFusionDefault,,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",0,657,,,,
DataFusionDefault,,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",1,660,,,,
DataFusionDefault,,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",2,657,,,,
DataFusionDefault,,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",0,5,,,,
DataFusionDefault,,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",1,6,,,,
DataFusionDefault,,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",2,9,,,,
DataFusionDefault,,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",0,43,,,,
DataFusionDefault,,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",1,26,,,,
DataFusionDefault,,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",2,26,,,,
DataFusionDefault,,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",0,763,,,,
DataFusionDefault,,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",1,774,,,,
DataFusionDefault,,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",2,753,,,,
DataFusionDefault,,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",0,922,,,,
DataFusionDefault,,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",1,934,,,,
DataFusionDefault,,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",2,933,,,,
DataFusionDefault,,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",0,188,,,,
DataFusionDefault,,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",1,175,,,,
DataFusionDefault,,10,"SELECT ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""Mobile",2,180,,,,
DataFusionDefault,,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",0,190,,,,
DataFusionDefault,,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",1,207,,,,
DataFusionDefault,,11,"SELECT ""MobilePhone"", ""MobilePhoneModel"", COUNT(DISTINCT ""UserID"") AS u FROM hit",2,193,,,,
DataFusionDefault,,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",0,753,,,,
DataFusionDefault,,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",1,761,,,,
DataFusionDefault,,12,"SELECT ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPhrase"" <> '' GROUP ",2,704,,,,
DataFusionDefault,,13,"SELECT ""SearchPhrase"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""SearchPhra",0,1073,,,,
DataFusionDefault,,13,"SELECT ""SearchPhrase"", COUNT(DISTINCT ""UserID"") AS u FROM hits WHERE ""SearchPhra",1,1049,,,,
