+-----------+----------+---------------------------+--------------------+----------------------+---------------------+
| CounterID | count(*) | sum(hits.ResolutionWidth) | avg(hits.ClientIP) | min(hits.UserID)     | max(hits.UserID)    |
+-----------+----------+---------------------------+--------------------+----------------------+---------------------+
| 199550    | 7008754  | 11000750426               | 526061615.11770093 | -9223346024853429862 | 9223371425449051681 |
| 3922      | 5361252  | 8393158611                | 597269271.6404972  | -9223178030934747259 | 9223310216978545089 |
| 105857    | 4177843  | 6673858410                | 570497720.4199646  | -9223140121085850272 | 9223363230269068491 |
| 46429     | 3584953  | 5433637584                | 615188001.7601932  | -9223361817928421363 | 9223175814720670285 |
| 122612    | 3542228  | 5367439224                | 542892346.2468649  | -9219567788895632964 | 9223323596402503223 |
| 244045    | 3306517  | 5031073914                | 538446474.7601129  | -9223357932189777279 | 9223357816360387857 |
| 225510    | 3205393  | 5171189987                | 562845975.3974967  | -9222586972143858525 | 9223324900102909551 |
| 178321    | 2628236  | 4018884714                | 565884683.0126575  | -9215921826393574013 | 9223276268586242047 |
| 245438    | 2446178  | 3584565635                | 577867363.6261944  | -9222028152060881928 | 9223290364457130352 |
| 233773    | 2230709  | 3530320103                | 626762708.99691    | -9222607364038294503 | 9223328854322062683 |
| 145496    | 2066529  | 2857655719                | 608215615.9204448  | -9221527730523596121 | 9222905909172755426 |
| 99062     | 1394978  | 2158584462                | 572460191.2268666  | -9222309912477497029 | 9223325148563768236 |
| 123906    | 1229349  | 1918969736                | 538507560.6318133  | -9222486292139758092 | 9223353962785668041 |
| 119677    | 1108082  | 1549383385                | 572581699.2718445  | -9222196182830295817 | 9223370512262829419 |
| 229540    | 1105062  | 1248220707                | 557994977.7382944  | -9219167411733195992 | 9223352541879458469 |
| 69154     | 1037673  | 1457269075                | 691754198.8292391  | -9222942943452632831 | 9223121880512945368 |
| 5822      | 1037577  | 1507330000                | 499031503.6938203  | -9221251372859339681 | 9222683096952890403 |
| 1483      | 953754   | 1488581113                | 536916264.1378626  | -9222225582324279020 | 9223305987483385459 |
| 128858    | 918847   | 1455469617                | 574146956.5097519  | -9219909450504070394 | 9223281383228192348 |
| 190147    | 906972   | 1374284572                | 535717220.3001438  | -9220742289079206593 | 9223337174614582560 |
| 117917    | 836928   | 1338389339                | 504229164.24259436 | -9221697809726755275 | 9223278921056450441 |
| 140443    | 800629   | 1171100903                | 603489007.1068972  | -9219107325584650578 | 9222724320443902653 |
| 7525      | 721310   | 1158645198                | 581026459.2789702  | -9221279140477359784 | 9223283516011928192 |
| 256004    | 701789   | 1085322762                | 447919161.3892908  | -9222837552450474710 | 9223269811334780822 |
| 62        | 671519   | 1071539420                | 630213038.1712118  | -9219054275930888834 | 9223258955477571344 |
| 1095      | 663876   | 1032442903                | 474617708.51855767 | -9220868456983495476 | 9223011030100129785 |
| 63217     | 654291   | 1035219776                | 528772410.193472   | -9222953906676075492 | 9222917033255998580 |
| 3035      | 641111   | 880080266                 | 563970979.4483358  | -9222579484431160461 | 9223251115378221328 |
| 132048    | 634657   | 1009496197                | 576126438.0492487  | -9223360918607336854 | 9223356537478078323 |
| 95978     | 631537   | 873808435                 | 574827791.3929857  | -9223344277659414581 | 9223161510779360742 |
| 186300    | 520191   | 828027220                 | 575313984.0301851  | -9222378406364091204 | 9223334595469392411 |
| 146891    | 480900   | 717791742                 | 590065562.7974756  | -9222031466889386267 | 9222918268856352859 |
| 226383    | 460241   | 727013898                 | 523767090.92059815 | -9216261718549834226 | 9223364125493659818 |
| 163373    | 452769   | 497077287                 | 457446963.96624327 | -9223308501352264398 | 9223160689807097605 |
| 135316    | 445732   | 651929333                 | 579802409.8134013  | -9222379336558706109 | 9223211195852902999 |
| 190994    | 428332   | 679639468                 | 515716885.29911375 | -9220727380977332871 | 9223180426617519058 |
| 96948     | 391724   | 608442784                 | 745293039.8965598  | -9219931312368108118 | 9223201849210885423 |
| 220992    | 349551   | 538733066                 | 189094983.70629466 | -9208815724237318257 | 9222534799014302671 |
| 56820     | 281653   | 375296949                 | 554983232.7167614  | -9219510007918356923 | 9223073870038724428 |
| 44779     | 277295   | 431194710                 | 593203648.6582737  | -9219217901786969051 | 9223328267615370523 |
| 2264      | 276324   | 391971588                 | 521948934.41942793 | -9222506155710409430 | 9223285090807786359 |
| 180984    | 273749   | 427008951                 | 580176372.805581   | -9220760007512044352 | 9223222157736946805 |
| 109363    | 271265   | 414988694                 | 620376339.6527492  | -9221464912395316444 | 9223140151779382655 |
| 95427     | 262650   | 410822557                 | 517374509.42930514 | -9213707126627324353 | 9222268276290908332 |
| 180215    | 260782   | 387610781                 | 632047524.6783482  | -9222159261305268509 | 9222147231107032881 |
| 158401    | 259769   | 406253263                 | 508342213.27201474 | -9210545542825040110 | 9221490578562345718 |
| 76325     | 258995   | 343109586                 | 618927001.7924516  | -9208077693383710261 | 9223057021953036435 |
| 38        | 258103   | 413124070                 | 595149961.8993309  | -9214751021948998350 | 9222220959557218405 |
| 121668    | 257995   | 370908672                 | 580115807.37905    | -9223344277659414581 | 9222689430320554375 |
| 35534     | 256522   | 376698994                 | 528784160.80790734 | -9222533007323865344 | 9223062682422697315 |
| 77639     | 248260   | 351078600                 | 541498459.4351044  | -9222859610726673510 | 9223222157736946805 |
| 1060      | 247772   | 384804373                 | 585033197.5597203  | -9222077718927031550 | 9223211410241297629 |
