+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| CounterID | sum(hits.AdvEngineID) | avg(hits.ResolutionWidth) | min(hits.ClientIP) | max(hits.ClientIP) | count(*) |
+-----------+-----------------------+---------------------------+--------------------+--------------------+----------+
| 199550    | 14833                 | 1569.5729121039203        | -2147483530        | 2147482511         | 7008754  |
| 105857    | 767                   | 1600.0049531268482        | -2147481662        | 2147482601         | 5714572  |
| 3922      | 69748                 | 1565.522122631057         | -2147438058        | 2147481248         | 5361252  |
| 46429     | 322229                | 1520.492483693668         | -2147428129        | 2147481248         | 4404424  |
| 122612    | 4418                  | 1515.2720897694896        | -2147481102        | 2147472501         | 3542228  |
| 244045    | 1053                  | 1521.5629963493307        | -2147469408        | 2147481248         | 3306517  |
| 225510    | 54                    | 1613.2779933692998        | -2147376531        | 2147472370         | 3205393  |
| 233773    | 16891                 | 1583.0041100489084        | -2147359049        | 2147463394         | 2916267  |
| 178321    | 1034                  | 1528.694438291491         | -2147440224        | 2147481248         | 2631979  |
| 245438    | 0                     | 1465.3739977221608        | -2147479495        | 2147469856         | 2446178  |
| 99062     | 174967                | 1548.932554072587         | -2147458652        | 2147473668         | 2385081  |
| 145496    | 0                     | 1382.8287524636721        | -2147468331        | 2147450056         | 2066529  |
| 123906    | 0                     | 1560.9641655868268        | -2147469408        | 2147481248         | 1229349  |
| 190147    | 28                    | 1513.419295215458         | -2147437263        | 2147474586         | 1180531  |
| 117917    | 7631                  | 1602.4351693465617        | -2147465746        | 2147478621         | 1148739  |
| 119677    | 81                    | 1398.2569746643298        | -2147462292        | 2147482601         | 1108082  |
| 229540    | 0                     | 1129.5481221868095        | -2147230711        | 2147385036         | 1105062  |
| 128858    | 32                    | 1585.3460789942799        | -2147465501        | 2147479403         | 1064153  |
| 69154     | 54441                 | 1404.362525574049         | -2147483530        | 2147466334         | 1037673  |
| 5822      | 0                     | 1452.74037493121          | -2147343307        | 2147226007         | 1037577  |
| 140443    | 0                     | 1472.9053078385014        | -2147416458        | 2147455534         | 991835   |
