+-----------+----------+---------------------------+--------------------+----------------------+---------------------+
| CounterID | count(*) | sum(hits.ResolutionWidth) | avg(hits.ClientIP) | min(hits.UserID)     | max(hits.UserID)    |
+-----------+----------+---------------------------+--------------------+----------------------+---------------------+
| 3922      | 8527070  | 13368908287               | 593781918.2144532  | -9223178030934747259 | 9223310216978545089 |
| 199550    | 7115413  | 11177951236               | 523707683.6377113  | -9223346024853429862 | 9223371425449051681 |
| 105857    | 5783214  | 9253826979                | 569007625.6493698  | -9223140121085850272 | 9223363230269068491 |
| 46429     | 4556155  | 6898566803                | 612552477.2726322  | -9223361817928421363 | 9223175814720670285 |
| 225510    | 4226610  | 6827331605                | 562433531.6559943  | -9222586972143858525 | 9223324900102909551 |
| 122612    | 3574170  | 5413802731                | 542618136.5534544  | -9219567788895632964 | 9223323596402503223 |
| 244045    | 3369562  | 5127488940                | 538356789.254226   | -9223357932189777279 | 9223357816360387857 |
| 233773    | 2941425  | 4656609405                | 627366541.0465169  | -9222607364038294503 | 9223328854322062683 |
| 178321    | 2712905  | 4149499770                | 566225473.2210073  | -9215921826393574013 | 9223276268586242047 |
| 245438    | 2510103  | 3680182290                | 577635629.2136657  | -9222028152060881928 | 9223290364457130352 |
| 99062     | 2407405  | 3729886640                | 572881239.4213325  | -9222309912477497029 | 9223325148563768236 |
| 145496    | 2281616  | 3175058099                | 604696607.0695428  | -9221527730523596121 | 9222905909172755426 |
| 123906    | 1239698  | 1935378684                | 538421155.3489721  | -9222486292139758092 | 9223353962785668041 |
| 190147    | 1193545  | 1806560279                | 541965664.8553351  | -9220742289079206593 | 9223337174614582560 |
| 117917    | 1171179  | 1876376400                | 506824778.975581   | -9221697809726755275 | 9223278921056450441 |
| 229540    | 1156490  | 1301631694                | 556257340.1421543  | -9219167411733195992 | 9223352541879458469 |
| 119677    | 1116337  | 1560272158                | 572353199.6374123  | -9222196182830295817 | 9223370512262829419 |
| 5822      | 1082664  | 1576026972                | 497828288.04833263 | -9221251372859339681 | 9222683096952890403 |
| 128858    | 1075580  | 1704926057                | 573916046.2300237  | -9219909450504070394 | 9223281383228192348 |
| 69154     | 1050001  | 1473607522                | 691617296.5151786  | -9222942943452632831 | 9223121880512945368 |
| 140443    | 1026594  | 1514176579                | 607657037.8945104  | -9219107325584650578 | 9222724320443902653 |
| 1483      | 967489   | 1510030432                | 537559696.5154436  | -9222225582324279020 | 9223305987483385459 |
| 190994    | 926928   | 1477158413                | 503191138.600312   | -9220727380977332871 | 9223180426617519058 |
| 95978     | 879551   | 1217461123                | 569347616.2896922  | -9223344277659414581 | 9223161510779360742 |
| 256004    | 859512   | 1327330662                | 450465703.05470663 | -9222837552450474710 | 9223269811334780822 |
| 186300    | 803240   | 1279443677                | 576959060.8122604  | -9222378406364091204 | 9223334595469392411 |
| 7525      | 764237   | 1235325860                | 516800623.3955239  | -9221279140477359784 | 9223283516011928192 |
| 62        | 738172   | 1178595012                | 632778265.3457623  | -9219054275930888834 | 9223258955477571344 |
| 132048    | 734284   | 1166465147                | 575707258.7884061  | -9223360918607336854 | 9223356537478078323 |
| 1095      | 696473   | 1083705049                | 474063762.8821735  | -9220868456983495476 | 9223011030100129785 |
| 63217     | 663901   | 1049727898                | 528614754.83600116 | -9222953906676075492 | 9222917033255998580 |
| 3035      | 646428   | 886550571                 | 564267045.5036416  | -9222579484431160461 | 9223251115378221328 |
| 146891    | 606549   | 900346893                 | 589629463.5796597  | -9222031466889386267 | 9222918268856352859 |
| 44779     | 579846   | 906705828                 | 593380283.4706595  | -9219217901786969051 | 9223328267615370523 |
| 135316    | 508440   | 747209261                 | 577852792.1043407  | -9222379336558706109 | 9223211195852902999 |
| 38        | 507962   | 813899567                 | 592014693.7762352  | -9214751021948998350 | 9222220959557218405 |
| 220992    | 495411   | 763063044                 | 190663824.41721925 | -9208815724237318257 | 9222534799014302671 |
| 226383    | 470548   | 743248852                 | 522781317.0617344  | -9216261718549834226 | 9223364125493659818 |
| 163373    | 468034   | 515833842                 | 456513729.1753313  | -9223308501352264398 | 9223160689807097605 |
| 35534     | 437086   | 645624252                 | 536377307.3519605  | -9222533007323865344 | 9223062682422697315 |
| 109363    | 397545   | 608842723                 | 614309264.9154007  | -9221464912395316444 | 9223140151779382655 |
| 96948     | 396093   | 615350932                 | 745822027.6895982  | -9219931312368108118 | 9223201849210885423 |
| 95427     | 374802   | 588742970                 | 517189140.3408706  | -9213707126627324353 | 9222268276290908332 |
| 56820     | 371559   | 501366676                 | 557350042.3691931  | -9219510007918356923 | 9223073870038724428 |
| 1634      | 323423   | 505522761                 | 577791338.2297641  | -9222055010781338364 | 9222745724455326045 |
| 188878    | 312348   | 489336428                 | 400862670.2931826  | -9211262286914389340 | 9221202196045095241 |
| 180984    | 293801   | 459210404                 | 580865917.6043206  | -9220760007512044352 | 9223222157736946805 |
| 158401    | 288229   | 451569616                 | 507059577.2282421  | -9210545542825040110 | 9221490578562345718 |
| 180215    | 280863   | 418728563                 | 632769595.313701   | -9222159261305268509 | 9222147231107032881 |
| 2264      | 279711   | 396405316                 | 521460911.2365978  | -9222506155710409430 | 9223285090807786359 |
| 76325     | 261960   | 347212568                 | 619294086.7386471  | -9208077693383710261 | 9223057021953036435 |
| 121668    | 261837   | 376482823                 | 581614706.9482732  | -9223344277659414581 | 9222689430320554375 |
| 262004    | 261300   | 400417661                 | 631623504.3396671  | -9221347161997830618 | 9222911160710512740 |
| 77639     | 253961   | 359180724                 | 543097961.7675667  | -9222859610726673510 | 9223222157736946805 |
| 1060      | 252508   | 392337653                 | 586037786.6003652  | -9222077718927031550 | 9223211410241297629 |
| 258631    | 250883   | 200703855                 | 662501614.3920114  | -9219431016831528964 | 9223029612224199235 |
| 218267    | 247101   | 389283358                 | 544584322.6047689  | -9223140121085850272 | 9223350958296956768 |
