+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
+-------------+----------+---------------------------+---------------------+
| -39921974   | 47008    | 1917.0                    | 29655               |
| -1698104457 | 29121    | 1995.3132790769548        | 22088               |
| -1175819552 | 25333    | 1917.0                    | 0                   |
| 1696638182  | 20220    | 1868.6865479723047        | 1234                |
| 1138507705  | 15778    | 1348.874445430346         | 705                 |
| -927025522  | 12768    | 1622.9286497493733        | 890                 |
| -1262139876 | 11348    | 1499.1924568205852        | 884                 |
| 1740861572  | 11314    | 1527.0633728124449        | 725                 |
| -807147100  | 9880     | 1565.2439271255062        | 705                 |
| -631062503  | 9718     | 1503.3322700144063        | 791                 |
| -111251117  | 9696     | 1641.055280528053         | 172                 |
| -1945757555 | 9566     | 1505.5574952958395        | 690                 |
| -446221142  | 9483     | 1461.9024570283666        | 505                 |
| -1870623097 | 9234     | 1526.8390729911198        | 801                 |
| -1052437439 | 9193     | 1518.150005438921         | 649                 |
| -1151786387 | 9142     | 1521.546379348064         | 694                 |
| -497906719  | 9129     | 1542.5262350750356        | 769                 |
| 1146197031  | 9070     | 1551.4197353914003        | 492                 |
| -265917476  | 9047     | 1532.8281198187244        | 465                 |
| -1836087206 | 8832     | 1512.8850769927535        | 533                 |
| -792059583  | 8798     | 1513.586155944533         | 653                 |
| -489681341  | 8785     | 1524.670688673876         | 458                 |
| -213744156  | 8719     | 1516.650648010093         | 655                 |
| -277892100  | 8639     | 1049.5685843268898        | 314                 |
| -465813166  | 8612     | 1523.461100789596         | 535                 |
| -607339269  | 8593     | 1519.9703246828815        | 648                 |
| -146201903  | 8585     | 1508.2384391380315        | 506                 |
| -398753756  | 8556     | 1540.2528050490885        | 548                 |
| -1743596151 | 8479     | 1535.7808703856588        | 539                 |
| -947382330  | 8467     | 1506.0159442541633        | 576                 |
| -859144196  | 8458     | 1489.0108772759518        | 599                 |
| -1125673878 | 8383     | 1556.4614099964213        | 644                 |
| -1279588490 | 8326     | 1500.133797742013         | 672                 |
| -909494221  | 8221     | 1528.9247050237198        | 352                 |
| 898648863   | 8128     | 1695.1983267716535        | 1004                |
| -748701126  | 8106     | 1498.4399210461386        | 363                 |
| -1621554155 | 8060     | 1548.225682382134         | 648                 |
| -1089778290 | 7945     | 1525.6249213341725        | 525                 |
| -1106675868 | 7889     | 1504.1294207123844        | 480                 |
| -1206311089 | 7838     | 1504.6324317427916        | 387                 |
| -1869210064 | 7821     | 1641.7805907172997        | 400                 |
| -2078396643 | 7804     | 1564.194003075346         | 484                 |
| -1682685917 | 7683     | 1546.8701028244175        | 495                 |
| -1223964817 | 7660     | 1570.5753263707572        | 323                 |
| -1827755091 | 7556     | 1697.660534674431         | 593                 |
| 2068464272  | 7374     | 1606.3426905343097        | 374                 |
| 1355275169  | 7102     | 1530.375246409462         | 402                 |
| -480879923  | 6912     | 1624.7119502314815        | 525                 |
| 2061209781  | 6907     | 1657.6813377732735        | 318                 |
| -1295078784 | 6520     | 1530.5978527607363        | 406                 |
+-------------+----------+---------------------------+---------------------+
+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
+-------------+----------+---------------------------+---------------------+
| -39921974   | 47008    | 1917.0                    | 29655               |
| -1698104457 | 29121    | 1995.3132790769548        | 22088               |
| -1175819552 | 25333    | 1917.0                    | 0                   |
| 1696638182  | 20220    | 1868.6865479723047        | 1234                |
| 1138507705  | 15778    | 1348.874445430346         | 705                 |
| -927025522  | 12768    | 1622.9286497493733        | 890                 |
| -1262139876 | 11348    | 1499.1924568205852        | 884                 |
| 1740861572  | 11314    | 1527.0633728124449        | 725                 |
| -807147100  | 9880     | 1565.2439271255062        | 705                 |
| -631062503  | 9718     | 1503.3322700144063        | 791                 |
| -111251117  | 9696     | 1641.055280528053         | 172                 |
| -1945757555 | 9566     | 1505.5574952958395        | 690                 |
| -446221142  | 9483     | 1461.9024570283666        | 505                 |
| -1870623097 | 9234     | 1526.8390729911198        | 801                 |
| -1052437439 | 9193     | 1518.150005438921         | 649                 |
| -1151786387 | 9142     | 1521.546379348064         | 694                 |
| -497906719  | 9129     | 1542.5262350750356        | 769                 |
| 1146197031  | 9070     | 1551.4197353914003        | 492                 |
| -265917476  | 9047     | 1532.8281198187244        | 465                 |
| -1836087206 | 8832     | 1512.8850769927535        | 533                 |
| -792059583  | 8798     | 1513.586155944533         | 653                 |
| -489681341  | 8785     | 1524.670688673876         | 458                 |
| -213744156  | 8719     | 1516.650648010093         | 655                 |
| -277892100  | 8639     | 1049.5685843268898        | 314                 |
| -465813166  | 8612     | 1523.461100789596         | 535                 |
| -607339269  | 8593     | 1519.9703246828815        | 648                 |
| -146201903  | 8585     | 1508.2384391380315        | 506                 |
| -398753756  | 8556     | 1540.2528050490885        | 548                 |
| -1743596151 | 8479     | 1535.7808703856588        | 539                 |
| -947382330  | 8467     | 1506.0159442541633        | 576                 |
| -859144196  | 8458     | 1489.0108772759518        | 599                 |
| -1125673878 | 8383     | 1556.4614099964213        | 644                 |
| -1279588490 | 8326     | 1500.133797742013         | 672                 |
| -909494221  | 8221     | 1528.9247050237198        | 352                 |
| 898648863   | 8128     | 1695.1983267716535        | 1004                |
| -748701126  | 8106     | 1498.4399210461386        | 363                 |
| -1621554155 | 8060     | 1548.225682382134         | 648                 |
| -1089778290 | 7945     | 1525.6249213341725        | 525                 |
| -1106675868 | 7889     | 1504.1294207123844        | 480                 |
| -1206311089 | 7838     | 1504.6324317427916        | 387                 |
| -1869210064 | 7821     | 1641.7805907172997        | 400                 |
| -2078396643 | 7804     | 1564.194003075346         | 484                 |
| -1682685917 | 7683     | 1546.8701028244175        | 495                 |
| -1223964817 | 7660     | 1570.5753263707572        | 323                 |
| -1827755091 | 7556     | 1697.660534674431         | 593                 |
