mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
Liquid,1024,0,SELECT COUNT(*) FROM hits,0,4,0,0,0,0
Liquid,1024,0,SELECT COUNT(*) FROM hits,1,0,0,0,0,0
Liquid,1024,0,SELECT COUNT(*) FROM hits,2,0,0,0,0,0
Liquid,1024,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",0,55,190007064,0,11540,0
Liquid,1024,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",1,11,190007064,0,11540,0
Liquid,1024,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",2,12,190007064,0,11540,0
Liquid,1024,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",0,94,402335844,0,24436,0
Liquid,1024,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",1,23,402335844,0,24436,0
Liquid,1024,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",2,22,402335844,0,24436,0
Liquid,1024,3,"SELECT AVG(""UserID"") FROM hits",0,633,1073704284,0,36654,0
Liquid,1024,3,"SELECT AVG(""UserID"") FROM hits",1,26,1073704284,0,36654,0
Liquid,1024,3,"SELECT AVG(""UserID"") FROM hits",2,24,1073704284,0,36654,0
Liquid,1024,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",0,583,1073704284,0,36654,0
Liquid,1024,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",1,538,1073704284,0,36654,0
Liquid,1024,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",2,548,1073704284,0,36654,0
Liquid,1024,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",0,35063,1073700090,398408376,48872,0
Liquid,1024,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",1,561,1073700090,398408376,48872,0
Liquid,1024,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",2,550,1073700090,398408376,48872,0
Liquid,1024,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",0,561,1073660060,417264464,61090,0
Liquid,1024,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",1,23,1073660060,417264464,61090,0
